algorithm,run,distance,time
Hill Climbing,0,570.4160140085053,0.4014414580306038
Hill Climbing,1,559.864656020141,0.429532999987714
Hill Climbing,2,559.8646560201394,0.4049767090473324
Hill Climbing,3,563.0230102203566,0.41877820796798915
Hill Climbing,4,578.6805619066259,0.4128488750429824
Hill Climbing,5,559.8646560201391,0.4168419169727713
Hill Climbing,6,559.864656020141,0.41775862500071526
Hill Climbing,7,559.8646560201398,0.41197304194793105
Hill Climbing,8,563.1770414960962,0.39950737496837974
Hill Climbing,9,571.5834626928106,0.41618754097726196
Hill Climbing,10,559.86465602014,0.41920158395078033
Hill Climbing,11,574.0845178288629,0.41583625006023794
Hill Climbing,12,559.864656020141,0.4108479169663042
Hill Climbing,13,567.7730855738574,0.40877933404408395
Hill Climbing,14,577.1216800670944,0.40771412500180304
Hill Climbing,15,568.7041556114506,0.4189611660549417
Hill Climbing,16,570.3720306350039,0.41028533410280943
Hill Climbing,17,567.1492631425274,0.41226912499405444
Hill Climbing,18,569.9911042204484,0.40718879096675664
Hill Climbing,19,572.2981139768548,0.4126507079927251
Hill Climbing,20,570.7055905988857,0.41266770905349404
Hill Climbing,21,559.86465602014,0.40722833306062967
Hill Climbing,22,570.9653803858191,0.4114729579305276
Hill Climbing,23,559.8646560201414,0.40906283305957913
Hill Climbing,24,570.3720306350045,0.4187185000628233
Hill Climbing,25,570.3720306350036,0.4262138339690864
Hill Climbing,26,563.1770414960964,0.42264883301686496
Hill Climbing,27,563.0230102203565,0.4117606660583988
Hill Climbing,28,559.8646560201387,0.4130002080928534
Hill Climbing,29,568.4251084925919,0.4084991669515148
Simulated Annealing,0,571.6586123943601,1.388080499949865
Simulated Annealing,1,571.6586123943777,1.3745502500096336
Simulated Annealing,2,563.0230102203311,1.381578083964996
Simulated Annealing,3,571.6586123943731,1.3815387500217184
Simulated Annealing,4,571.6586123943905,1.377767457976006
Simulated Annealing,5,563.0230102203275,1.3862278750166297
Simulated Annealing,6,571.0280039319169,1.3812903340440243
Simulated Annealing,7,573.0595474624893,1.3834891250589862
Simulated Annealing,8,571.6586123943337,1.3873834169935435
Simulated Annealing,9,572.9344738911703,1.3592761249747127
Simulated Annealing,10,575.7410779219506,1.396256250096485
Simulated Annealing,11,584.027685881524,1.4056842089630663
Simulated Annealing,12,571.6586123943426,1.4033872919389978
Simulated Annealing,13,571.6586123943548,1.3893669579410926
Simulated Annealing,14,575.717186403506,1.374840582953766
Simulated Annealing,15,571.6586123943376,1.387482708087191
Simulated Annealing,16,559.8646560201132,1.3670583340572193
Simulated Annealing,17,573.0595474625177,1.3975644169840962
Simulated Annealing,18,559.8646560201344,1.3817595000145957
Simulated Annealing,19,571.6586123943391,1.3764931660844013
Simulated Annealing,20,576.9570047218564,1.3855372089892626
Simulated Annealing,21,571.2971523839219,1.388464624993503
Simulated Annealing,22,563.0230102203067,1.3807545829331502
Simulated Annealing,23,571.6586123943443,1.3870507499668747
Simulated Annealing,24,571.65861239438,1.4054569579893723
Simulated Annealing,25,570.7055905989259,1.3793965829536319
Simulated Annealing,26,585.8203924063953,1.392273416975513
Simulated Annealing,27,571.6586123943794,1.382042249897495
Simulated Annealing,28,571.6586123943716,1.4000137080438435
Simulated Annealing,29,571.6586123943482,1.386365458020009
Tabu Search,0,571.6586123943712,0.16441854101140052
Tabu Search,1,580.2279983169337,0.1645398751134053
Tabu Search,2,574.9362145202751,0.16221245797351003
Tabu Search,3,563.0230102203564,0.1654993339907378
Tabu Search,4,559.8646560201407,0.164377374923788
Tabu Search,5,570.7055905988867,0.16275799996219575
Tabu Search,6,575.7171864034766,0.16403641598299146
Tabu Search,7,571.6586123943723,0.16247125004883856
Tabu Search,8,559.8646560201404,0.16265533305704594
Tabu Search,9,574.766715220963,0.1628721250453964
Tabu Search,10,575.886685702792,0.16332962492015213
Tabu Search,11,571.6586123943706,0.1638182079186663
Tabu Search,12,574.766715220963,0.16411187499761581
Tabu Search,13,571.0280039319115,0.16149783390574157
Tabu Search,14,563.0230102203558,0.1642375000519678
Tabu Search,15,559.8646560201403,0.1628210840281099
Tabu Search,16,559.8646560201391,0.1675022499402985
Tabu Search,17,571.0280039319109,0.1645805409643799
Tabu Search,18,561.1343460168683,0.16483500006143004
Tabu Search,19,563.1770414960965,0.1650974169606343
Tabu Search,20,571.6586123943719,0.16488199995364994
Tabu Search,21,559.8646560201402,0.16610016697086394
Tabu Search,22,570.7055905988861,0.16766500007361174
Tabu Search,23,571.1080845666754,0.16498595802113414
Tabu Search,24,571.6586123943713,0.16342729202006012
Tabu Search,25,571.6586123943712,0.1639028750360012
Tabu Search,26,575.7171864034796,0.16425549995619804
Tabu Search,27,571.0280039319116,0.16417679202277213
Tabu Search,28,559.8646560201397,0.1641747079556808
Tabu Search,29,564.2927002170811,0.1652294589439407
Genetic Algorithm,0,587.3075677030266,0.49858570797368884
Genetic Algorithm,1,585.269922436703,0.498545250040479
Genetic Algorithm,2,575.7171864034781,0.4961860419716686
Genetic Algorithm,3,578.1996395220833,0.4983371659182012
Genetic Algorithm,4,612.032601472247,0.49722424999345094
Genetic Algorithm,5,615.1864641672385,0.5017501669935882
Genetic Algorithm,6,559.8646560201399,0.4979882499901578
Genetic Algorithm,7,585.1640027365621,0.5004474159795791
Genetic Algorithm,8,590.8261582471824,0.49690908298362046
Genetic Algorithm,9,600.3210572389121,0.5007628749590367
Genetic Algorithm,10,592.007998202646,0.5028918749885634
Genetic Algorithm,11,580.5405000883289,0.4996915829833597
Genetic Algorithm,12,560.3963652020595,0.5001926659606397
Genetic Algorithm,13,578.4122544121512,0.49959024996496737
Genetic Algorithm,14,599.2122234583768,0.4997264170087874
Genetic Algorithm,15,624.9604511872859,0.5040610409341753
Genetic Algorithm,16,586.65295622035,0.5015198339242488
Genetic Algorithm,17,616.950325425207,0.5011394999455661
Genetic Algorithm,18,590.7674576234125,0.4964098749915138
Genetic Algorithm,19,591.515741803041,0.4994507919764146
Genetic Algorithm,20,577.836166445533,0.4989495410118252
Genetic Algorithm,21,586.9553944488492,0.5011704999487847
Genetic Algorithm,22,601.0571103592976,0.4987833750201389
Genetic Algorithm,23,590.1166849531988,0.5020082499831915
Genetic Algorithm,24,574.7667152209623,0.5021275000181049
Genetic Algorithm,25,622.0768019641517,0.5043177920160815
Genetic Algorithm,26,597.4330421525552,0.5030801669927314
Genetic Algorithm,27,601.7433695821665,0.5029429169371724
Genetic Algorithm,28,624.4454176908338,0.49770383303985
Genetic Algorithm,29,634.2196627961247,0.5042650839313865
